Name,lon,lat,Controlofinstitution,Website,Acceptance_Rate,State_name,Highest_degree_offered,,Total_Matriculates
Abilene Christian University,-99.70954,32.46915,Private,http://www.acu.edu/,49,Texas,Doctor's degree,,1030
Adams State University,-105.880943,37.477238,Public,https://www.adams.edu/,53,Colorado,Master's degree,,519
Adelphi University,-73.653321,40.721439,Private,http://www.adelphi.edu/,68,New York,Doctor's degree,,918
Adrian College,-84.059947,41.898449,Private,http://adrian.edu/,56,Michigan,Master's degree,,496
Agnes Scott College,-84.29563,33.769996,Private,https://www.agnesscott.edu/,67,Georgia,Bachelor's degree,,254
Alabama A & M University,-86.568502,34.783368,Public,http://www.aamu.edu/Pages/default.aspx,90,Alabama,Doctor's degree,,1104
Alabama State University,-86.295677,32.364317,Public,http://www.alasu.edu/index.aspx,51,Alabama,Doctor's degree,,1479
Alaska Pacific University,-149.804242,61.191235,Private,https://www.alaskapacific.edu/,37,Alaska,Doctor's degree,,33
Albany State University,-84.14306,31.571395,Public,https://www.asurams.edu/,20,Georgia,Master's degree,,501
Albertus Magnus College,-72.923848,41.332519,Private,http://www.albertus.edu/,68,Connecticut,Master's degree,,132
Albion College,-84.746088,42.244603,Private,http://albion.edu/,56,Michigan,Bachelor's degree,,346
Albright College,-75.910152,40.360248,Private,http://www.albright.edu/index.html,62,Pennsylvania,Master's degree,,655
Alcorn State University,-91.142854,31.877216,Public,https://www.alcorn.edu/,83,Mississippi,Master's degree,,575
Alderson Broaddus University,-80.047728,39.158067,Private,http://ab.edu/,43,West Virginia,Master's degree,,438
Alfred University,-77.788625,42.255866,Private,http://www.alfred.edu/,70,New York,Doctor's degree,,535
Alice Lloyd College,-82.875068,37.335087,Private,http://www.alc.edu/,45,Kentucky,Bachelor's degree,,189
Allegheny College,-80.146922,41.648068,Private,http://allegheny.edu/,65,Pennsylvania,Bachelor's degree,,604
Allen University,-81.020045,34.010348,Private,http://www1.villanova.edu/main.html,77,South Carolina,Bachelor's degree,,21
Alliant International University,-117.094398,32.897056,Private,http://www.alliant.edu/,49,California,Doctor's degree,,28
Alma College,-84.670073,43.379236,Private,http://www.alma.edu/,68,Michigan,Bachelor's degree,,376
Alvernia University,-75.938163,40.3102,Private,http://www.alvernia.edu/,78,Pennsylvania,Doctor's degree,,389
Alverno College,-87.965498,42.983518,Private,http://www.alverno.edu/,79,Wisconsin,Master's degree,,208
American Indian College of the Assemblies of God Inc,-112.092247,33.577738,Private,http://www.aicag.edu/,38,Arizona,Bachelor's degree,,12
American International College,-72.558507,42.112708,Private,https://www.aic.edu/,68,Massachusetts,Doctor's degree,,346
American Jewish University,-118.471764,34.128099,Private,http://www.aju.edu/,59,California,Master's degree,,23
American University,-77.090106,38.937802,Private,http://www.american.edu/,43,District of Columbia,Doctor's degree,,1627
Amherst College,-72.518493,42.372459,Private,https://www.amherst.edu/,14,Massachusetts,Bachelor's degree,,466
Amridge University,-86.17401,32.362609,Private,http://www.amridgeuniversity.edu/,71,Alabama,Doctor's degree,,300
Anderson University,-85.662292,40.112167,Private,http://www.anderson.edu/,55,Indiana,Doctor's degree,,444
Anderson University,-82.640205,34.515506,Private,http://www.anderson.edu/,65,South Carolina,Doctor's degree,,502
