University_Name,Year,Tution_Fee,Controlofinstitution,State
Abilene Christian University,2011,22760,Private,Texas
Abilene Christian University,2012,25270,Private,Texas
Abilene Christian University,2013,26770,Private,Texas
Abilene Christian University,2014,28350,Private,Texas
Abilene Christian University,2015,30830,Private,Texas
Adams State University,2011,4971,Public,Colorado
Adams State University,2012,5627,Public,Colorado
Adams State University,2013,6448,Public,Colorado
Adams State University,2014,7449,Public,Colorado
Adams State University,2015,8014,Public,Colorado
Adelphi University,2011,27900,Private,New York
Adelphi University,2012,28460,Private,New York
Adelphi University,2013,29320,Private,New York
Adelphi University,2014,30800,Private,New York
Adelphi University,2015,34034,Private,New York
Adrian College,2011,25900,Private,Michigan
Adrian College,2012,27440,Private,Michigan
Adrian College,2013,29156,Private,Michigan
Adrian College,2014,30758,Private,Michigan
Adrian College,2015,33610,Private,Michigan
Agnes Scott College,2011,31283,Private,Georgia
Agnes Scott College,2012,32195,Private,Georgia
Agnes Scott College,2013,33461,Private,Georgia
Agnes Scott College,2014,34788,Private,Georgia
Agnes Scott College,2015,37236,Private,Georgia
Alabama A & M University,2011,5800,Public,Alabama
Alabama A & M University,2012,6828,Public,Alabama
Alabama A & M University,2013,7182,Public,Alabama
Alabama A & M University,2014,7182,Public,Alabama
Alabama A & M University,2015,6340,Public,Alabama
Alabama State University,2011,7164,Public,Alabama
Alabama State University,2012,8082,Public,Alabama
Alabama State University,2013,7932,Public,Alabama
Alabama State University,2014,8720,Public,Alabama
Alabama State University,2015,8720,Public,Alabama
Alaska Pacific University,2011,26360,Private,Alaska
Alaska Pacific University,2012,27110,Private,Alaska
Alaska Pacific University,2013,29810,Private,Alaska
Alaska Pacific University,2014,29810,Private,Alaska
Alaska Pacific University,2015,33280,Private,Alaska
Albany State University,2011,4592,Public,Georgia
Albany State University,2012,5802,Public,Georgia
Albany State University,2013,5912,Public,Georgia
Albany State University,2014,6024,Public,Georgia
Albany State University,2015,6258,Public,Georgia
Albertus Magnus College,2011,24374,Private,Connecticut
Albertus Magnus College,2012,26294,Private,Connecticut
Albertus Magnus College,2013,28358,Private,Connecticut
Albertus Magnus College,2014,28378,Private,Connecticut
Albertus Magnus College,2015,29650,Private,Connecticut
Albion College,2011,31186,Private,Michigan
Albion College,2012,32662,Private,Michigan
Albion College,2013,34194,Private,Michigan
Albion College,2014,36051,Private,Michigan
Albion College,2015,39128,Private,Michigan
Albright College,2011,32740,Private,Pennsylvania
Albright College,2012,33990,Private,Pennsylvania
Albright College,2013,35320,Private,Pennsylvania
Albright College,2014,36660,Private,Pennsylvania
Albright College,2015,39850,Private,Pennsylvania
Alcorn State University,2011,4858,Public,Mississippi
Alcorn State University,2012,5247,Public,Mississippi
Alcorn State University,2013,5712,Public,Mississippi
Alcorn State University,2014,6108,Public,Mississippi
Alcorn State University,2015,6200,Public,Mississippi
Alderson Broaddus University,2011,22204,Private,West Virginia
Alderson Broaddus University,2012,22740,Private,West Virginia
Alderson Broaddus University,2013,22740,Private,West Virginia
Alderson Broaddus University,2014,22740,Private,West Virginia
Alderson Broaddus University,2015,24140,Private,West Virginia
Alfred University,2011,25976,Private,New York
Alfred University,2012,26884,Private,New York
Alfred University,2013,27794,Private,New York
Alfred University,2014,25430,Private,New York
Alfred University,2015,30200,Private,New York
Alice Lloyd College,2011,9500,Private,Kentucky
Alice Lloyd College,2012,9600,Private,Kentucky
Alice Lloyd College,2013,10100,Private,Kentucky
Alice Lloyd College,2014,10620,Private,Kentucky
Alice Lloyd College,2015,11460,Private,Kentucky
Allegheny College,2011,34810,Private,Pennsylvania
Allegheny College,2012,36190,Private,Pennsylvania
Allegheny College,2013,37610,Private,Pennsylvania
Allegheny College,2014,39100,Private,Pennsylvania
Allegheny College,2015,42470,Private,Pennsylvania
Allen University,2011,10884,Private,South Carolina
Allen University,2012,11940,Private,South Carolina
Allen University,2013,12140,Private,South Carolina
Allen University,2014,11940,Private,South Carolina
Allen University,2015,12970,Private,South Carolina
Alliant International University,2011,4918,Private,California
Alliant International University,2012,4250,Private,California
Alliant International University,2013,15190,Private,California
Alliant International University,2014,15816,Private,California
Alliant International University,2015,19930,Private,California
Alma College,2011,27580,Private,Michigan
Alma College,2012,29230,Private,Michigan
Alma College,2013,30960,Private,Michigan
Alma College,2014,32660,Private,Michigan
Alma College,2015,35806,Private,Michigan
Alvernia University,2011,25480,Private,Pennsylvania
Alvernia University,2012,26630,Private,Pennsylvania
Alvernia University,2013,27950,Private,Pennsylvania
Alvernia University,2014,29060,Private,Pennsylvania
Alvernia University,2015,31100,Private,Pennsylvania
Alverno College,2011,20060,Private,Wisconsin
Alverno College,2012,21069,Private,Wisconsin
Alverno College,2013,22126,Private,Wisconsin
Alverno College,2014,23231,Private,Wisconsin
Alverno College,2015,256602,Private,Wisconsin
American Indian College of the Assemblies of God Inc,2011,9750,Private,Arizona
