Univ_name,Applicants_total,Admissions_total,State_name,Acceptance_Rate,Controlofinstitution
Abilene Christian University,10188,4986,Texas,49,Private
Adams State University,2658,1398,Colorado,53,Public
Adelphi University,8654,5897,New York,68,Private
Adrian College,4675,2631,Michigan,56,Private
Agnes Scott College,1340,896,Georgia,67,Private
Alabama A & M University,6142,5521,Alabama,90,Public
Alabama State University,10245,5251,Alabama,51,Public
Alaska Pacific University,494,185,Alaska,37,Private
Albany State University,8250,1643,Georgia,20,Public
Albertus Magnus College,689,470,Connecticut,68,Private
Albion College,4430,2498,Michigan,56,Private
Albright College,6060,3776,Pennsylvania,62,Private
Alcorn State University,2265,1878,Mississippi,83,Public
Alderson Broaddus University,4892,2114,West Virginia,43,Private
Alfred University,3417,2385,New York,70,Private
Alice Lloyd College,3656,1646,Kentucky,45,Private
Allegheny College,4512,2927,Pennsylvania,65,Private
Allen University,,,South Carolina,77,Private
Alliant International University,128,63,California,49,Private
Alma College,2699,1833,Michigan,68,Private
Alvernia University,1792,1391,Pennsylvania,78,Private
Alverno College,582,459,Wisconsin,79,Private
American Indian College of the Assemblies of God Inc,,,Arizona,38,Private
American International College,1928,1307,Massachusetts,68,Private
American Jewish University,100,59,California,59,Private
American University,17545,7566,District of Columbia,43,Private
Amherst College,7927,1132,Massachusetts,14,Private
Amridge University,,,Alabama,71,Private
Anderson University,2734,1516,Indiana,55,Private
Anderson University,2190,1424,South Carolina,65,Private
Andrews University,2551,957,Michigan,38,Private
Angelo State University,2599,2092,Texas,80,Public
Anna Maria College,2081,1614,Massachusetts,78,Private
Antioch University-Seattle,42,33,Washington,79,Private
Appalachian State University,12248,7744,North Carolina,63,Public
Aquinas College,2789,1990,Michigan,71,Private
Aquinas College,119,62,Tennessee,52,Private
Arcadia University,9608,5735,Pennsylvania,60,Private
Arizona Christian University,344,209,Arizona,61,Private
Arizona State University-Tempe,21770,17465,Arizona,80,Public
Arkansas Baptist College,,,Arkansas,55,Private
Arkansas State University-Main Campus,4838,3653,Arkansas,76,Public
Arkansas Tech University,3847,3271,Arkansas,85,Public
Armstrong Atlantic State University,3118,2182,Georgia,70,Public
Asbury University,1211,796,Kentucky,66,Private
Ashland University,2931,2180,Ohio,74,Private
Assumption College,4659,3458,Massachusetts,74,Private
Auburn University,15745,13027,Alabama,83,Public
Auburn University at Montgomery,1958,1639,Alabama,84,Public
Augsburg College,2072,1261,Minnesota,61,Private
Augustana College,5831,3421,Illinois,59,Private
Augustana College,1147,781,South Dakota,68,Private
Aurora University,2536,1926,Illinois,76,Private
Austin College,3141,1841,Texas,59,Private
Austin Peay State University,3332,2864,Tennessee,86,Public
Ave Maria University,1611,960,Florida,60,Private
Averett University,2356,1491,Virginia,63,Private
Avila University,1629,995,Missouri,61,Private
Azusa Pacific University,5329,4255,California,80,Private
Bacone College,2445,1756,Oklahoma,72,Private
Baker College Center for Graduate Studies,,,Michigan,100,Private
Baker College of Allen Park,,,Michigan,100,Private
Baker College of Auburn Hills,,,Michigan,100,Private
Baker College of Cadillac,,,Michigan,100,Private
Baker College of Clinton Township,,,Michigan,100,Private
Baker College of Flint,,,Michigan,100,Private
Baker College of Jackson,,,Michigan,100,Private
Baker College of Muskegon,,,Michigan,100,Private
Baker College of Owosso,,,Michigan,100,Private
Baker College of Port Huron,,,Michigan,100,Private
Baker University,870,756,Kansas,87,Private
Baldwin Wallace University,4220,2699,Ohio,64,Private
Ball State University,17118,10364,Indiana,61,Public
Bard College,5466,2056,New York,38,Private
Bard College at Simon's Rock,218,201,Massachusetts,92,Private
Barnard College,5606,1151,New York,21,Private
Barry University,7845,3670,Florida,47,Private
Barton College,2933,1225,North Carolina,42,Private
Bates College,5243,1267,Maine,24,Private
Bay Path College,908,523,Massachusetts,58,Private
Baylor University,29249,16809,Texas,57,Private
Beacon College,139,90,Florida,65,Private
Becker College,3936,2462,Massachusetts,63,Private
Belhaven University,2280,1104,Mississippi,48,Private
Bellarmine University,4160,3943,Kentucky,95,Private
Bellevue University,,,Nebraska,100,Private
